Acidez	Volatilidad	Citricidad	Azucar	Densidad	pH	Alcohol	Cloruros	Sulfatos	Calidad
7.4	0.7	0.0	1.9	0.9978	3.51	9.4	0.076	0.56	5
7.8	0.88	0.0	2.6	0.9968	3.2	9.8	0.098	0.68	5
7.8	0.76	0.04	2.3	0.997	3.26	9.8	0.092	0.65	5
11.2	0.28	0.56	1.9	0.998	3.16	9.8	0.075	0.58	6
7.4	0.7	0.0	1.9	0.9978	3.51	9.4	0.076	0.56	5
7.4	0.66	0.0	1.8	0.9978	3.51	9.4	0.075	0.56	5
7.9	0.6	0.06	1.6	0.9964	3.3	9.4	0.069	0.46	5
7.3	0.65	0.0	1.2	0.9946	3.39	10.0	0.065	0.47	7
7.8	0.58	0.02	2.0	0.9968	3.36	9.5	0.073	0.57	7
7.5	0.5	0.36	6.1	0.9978	3.35	10.5	0.071	0.8	5
6.7	0.58	0.08	1.8	0.9959	3.28	9.2	0.09699	0.54	5
7.5	0.5	0.36	6.1	0.9978	3.35	10.5	0.071	0.8	5
5.6	0.615	0.0	1.6	0.9943	3.58	9.9	0.0890	0.52	5
7.8	0.61	0.29	1.6	0.9974	3.26	9.1	0.114	1.56	5
8.9	0.62	0.18	3.8	0.9986	3.16	9.2	0.17600	0.88	5
8.9	0.62	0.19	3.9	0.9986	3.17	9.2	0.17	0.93	5
8.5	0.28	0.56	1.8	0.9969	3.3	10.5	0.092	0.75	7
8.1	0.56	0.28	1.7	0.9968	3.11	9.3	0.368	1.28	5
7.4	0.59	0.08	4.4	0.9974	3.38	9.0	0.086	0.5	4
7.9	0.32	0.51	1.8	0.9969	3.04	9.2	0.341	1.08	6
8.9	0.22	0.48	1.8	0.9968	3.39	9.4	0.077	0.53	6
7.6	0.39	0.31	2.3	0.9982	3.52	9.7	0.08199	0.65	5
7.9	0.43	0.21	1.6	0.9966	3.17	9.5	0.106	0.91	5
8.5	0.49	0.11	2.3	0.9968	3.17	9.4	0.084	0.53	5
6.9	0.4	0.14	2.4	0.9968	3.43	9.7	0.085	0.63	6
6.3	0.39	0.16	1.4	0.9955	3.34	9.3	0.08	0.56	5
7.6	0.41	0.24	1.8	0.9962	3.28	9.5	0.08	0.59	5
7.9	0.43	0.21	1.6	0.9966	3.17	9.5	0.106	0.91	5
7.1	0.71	0.0	1.9	0.9972	3.47	9.4	0.08	0.55	5
7.8	0.645	0.0	2.0	0.9964	3.38	9.8	0.08199999999999999	0.59	6
6.7	0.675	0.07	2.4	0.9958	3.35	10.1	0.08900000000000001	0.54	5
6.9	0.685	0.0	2.5	0.9966	3.46	10.6	0.105	0.57	6
8.3	0.655	0.12	2.3	0.9966	3.17	9.8	0.083	0.66	5
6.9	0.605	0.12	10.7	0.9993	3.45	9.4	0.073	0.52	6
5.2	0.32	0.25	1.8	0.9957	3.38	9.2	0.10300000000000001	0.55	5
7.8	0.645	0.0	5.5	0.9986	3.4	9.6	0.086	0.55	6
7.8	0.6	0.14	2.4	0.9975	3.42	10.8	0.086	0.6	6
8.1	0.38	0.28	2.1	0.9968	3.23	9.7	0.066	0.73	7
5.7	1.13	0.09	1.5	0.9940000000000001	3.5	9.8	0.172	0.48	4
7.3	0.45	0.36	5.9	0.9978	3.33	10.5	0.07400000000000001	0.83	5
7.3	0.45	0.36	5.9	0.9978	3.33	10.5	0.07400000000000001	0.83	5
8.8	0.61	0.3	2.8	0.9976	3.26	9.3	0.08800000000000001	0.51	4
7.5	0.49	0.2	2.6	0.9968	3.21	10.5	0.332	0.9	6
8.1	0.66	0.22	2.2	0.9968	3.3	10.3	0.069	1.2	5
6.8	0.67	0.02	1.8	0.9962	3.48	9.5	0.05	0.52	5
4.6	0.52	0.15	2.1	0.9934	3.9	13.1	0.054000000000000006	0.56	4
7.7	0.935	0.43	2.2	0.997	3.25	9.2	0.114	0.73	5
8.7	0.29	0.52	1.6	0.9969	3.25	9.5	0.113	0.58	5
6.4	0.4	0.23	1.6	0.9958	3.34	9.2	0.066	0.56	5
5.6	0.31	0.37	1.4	0.9954	3.32	9.2	0.07400000000000001	0.58	5
8.8	0.66	0.26	1.7	0.9971	3.15	9.2	0.07400000000000001	0.74	5
6.6	0.52	0.04	2.2	0.9956	3.4	9.4	0.069	0.63	6
6.6	0.5	0.04	2.1	0.9955	3.39	9.4	0.068	0.64	6
8.6	0.38	0.36	3.0	0.997	3.2	9.4	0.081	0.56	5
7.6	0.51	0.15	2.8	0.9955	3.17	10.2	0.11	0.63	6
